code,code_value,code_desc,lkup_code,lkup_value,lkup_desc
CLM_LN_MSG_CD,M49N,Services payable by vehicle insurance are not elig,,,
CLM_LN_MSG_CD,C544,REJ-SERVICES NOT COVERED IF RENDERED BY NON PAR PR,,,
CLM_LN_MSG_CD,DN5,Not Cpt Precertified By Nymi,,,
CLM_LN_MSG_CD,Y8VM,ScripWorld copays have been applied towards your i,,,
CLM_LN_MSG_CD,E129,SERVICES PREVIOUSLY PROCESSED BY MHNET,,,
CLM_LN_MSG_CD,FDZ,FED36 PROF ELIG,,,
CLM_LN_MSG_CD,NYN,NY SB 2022 AOB I/O,,,
CLM_LN_MSG_CD,M30I,(Short Term Medical): Charges for preventive treat,,,
CLM_LN_MSG_CD,E362,DUPLICATE,,,
CLM_LN_MSG_CD,D437,REJ-PLEASE SUBMIT COMPLETE COPY OF PHYSICIAN'S ORD,,,
CLM_LN_MSG_CD,A82E,CTV PPM dx/age mismatch NP OON,,,
CLM_LN_MSG_CD,C534,REJ-SERVICE NOT COVERED BY MEDICAID,,,
CLM_LN_MSG_CD,C595,NEW CLAIM/EOB DOES NOT ALTER OVERALL PATIENT RESP,,,
CLM_LN_MSG_CD,X51,NJ COB AUDIT/PYMT,,,
CLM_LN_MSG_CD,7KGX,BRG-HHA CC54 Incorrect TOB/Subsequent Episode,,,
CLM_LN_MSG_CD,D3Y,Md Mdnonp Si Info,,,
CLM_LN_MSG_CD,E886,DATA: INOCRRECT BILLING AREA CHOSEN,,,
CLM_LN_MSG_CD,D213,REJ-NR-BILL TO DMERC,,,
CLM_LN_MSG_CD,A376,REJ-SVCS EXCEED ROUTINE DIAGNOSTIC GUIDELINES,,,
CLM_LN_MSG_CD,D483,APP-CR-MODIFIER CHANGED PAYMENT ADJUSTED,,,
CLM_LN_MSG_CD,A154,APPROVED,,,
CLM_LN_MSG_CD,B875,APP-NR-MODIFIER ADDED-PAYMENT ADJUSTED,,,
CLM_LN_MSG_CD,E016,REJ-RESUBMIT WITH APPROPRIATE MODIFIER FOR MUTUALL,,,
CLM_LN_MSG_CD,K85,PRE-ADMISSION TESTING NC,,,
CLM_LN_MSG_CD,AHH,Incidental Hist Adjustment,,,
CLM_LN_MSG_CD,LD-,C/BY PER CONFINEMENT DEDUCTIBLE-PREF,,,
CLM_LN_MSG_CD,MDB,State of Ill - Med ESRD,,,
CLM_LN_MSG_CD,B157,APPROVED-CAPPED CONVERSION,,,
CLM_LN_MSG_CD,OB3,OON VOL MATERNITY NO IDR,,,
CLM_LN_MSG_CD,0AEU,Dental-Deny Addl Pins Par,,,
CLM_LN_MSG_CD,C465,DR-PLEASE VERIFY  THE CORRECT TOOTH/TEETH NUMBERS,,,
CLM_LN_MSG_CD,CC6,EHP Bariatric CC Reimb,,,
CLM_LN_MSG_CD,M6CD,The denial letter submitted by Kaiser Permanente s,,,
CLM_LN_MSG_CD,E838,GREV:CLAIM PAYMENT REVIEWED ON APPEAL,,,
CLM_LN_MSG_CD,032,LATE HOSP DISCHARGE,,,
CLM_LN_MSG_CD,E176,REJ-TRANSPLANT EXCEPTION FACILITY LIABILITY,,,
CLM_LN_MSG_CD,F136,ENRO:INCORRECT BENEFIT PLAN/RIDER LOADED FOR GROUP,,,
CLM_LN_MSG_CD,DZ1,PHO RESPONSIBILITY,,,
CLM_LN_MSG_CD,K26,Mult Therapy NP OON,,,
CLM_LN_MSG_CD,PWX,MIPS adjustment,,,
CLM_LN_MSG_CD,0JXY,Interim DRG Denial,,,
CLM_LN_MSG_CD,C264,REJ-PROMPT PAY DISCOUNT,,,
CLM_LN_MSG_CD,D852,REJ-HCR-PLEASE RESUBMIT WITH APPROPRIATE PROCEDURE,,,
CLM_LN_MSG_CD,A458,REJ-INCLUDED IN GLOBAL CONTRACTED RATE,,,
CLM_LN_MSG_CD,PD8,Claim Is Deficient,,,
CLM_LN_MSG_CD,R8VM,Subsequent procedures are not allowed on the same,,,
CLM_LN_MSG_CD,DGM,GOLDEN MEDICARE CLINICAL TRIAL,,,
CLM_LN_MSG_CD,DTF,Not Recogn Res Trt Fac,,,
CLM_LN_MSG_CD,BU,SER/SUP MED NEC NC-NEG,,,
CLM_LN_MSG_CD,P2V,Anes Auth'd Nonpar,,,
CLM_LN_MSG_CD,DF1,Shoe Orthotics Not Met Criteria,,,
CLM_LN_MSG_CD,PFDF,Deduct from CAP/Hospital,,,
CLM_LN_MSG_CD,PRI,Infert Paid As Standard,,,
CLM_LN_MSG_CD,AJ7,Mult Therapy Hist Adj,,,
CLM_LN_MSG_CD,B983,REJ-TIME LIMIT  FOR FILING HAS EXPIRED MEMBER LIA,,,
CLM_LN_MSG_CD,DGG,Non Accred Tech Comp Addr,,,
CLM_LN_MSG_CD,B046,REJ-DENY UNSPECIFIED CODE A MORE ADEQUATE/ACCURAT,,,
CLM_LN_MSG_CD,85,INACTIVE SVC CODE SEE AUTOCODER,,,
CLM_LN_MSG_CD,D74,Plan Maximum Benefit Exceeded,,,
CLM_LN_MSG_CD,IR,IRS PENALTY FOR 31% WITHHOLD - DO NOT USE,,,
CLM_LN_MSG_CD,V14,EXPAT REQUEST COVER SHEET (ExxonMobil),,,
CLM_LN_MSG_CD,D504,REJ-CR-ADD ON CODE DENIED - NO PRIMARY PROCEDURE F,,,
CLM_LN_MSG_CD,D425,PND-NEW YEARLY CODE  UPDATE - NO INTREST DUE,,,
CLM_LN_MSG_CD,0DYO,MA-Non Par Not Authorized,,,
CLM_LN_MSG_CD,127,ITEMIZED BILL MISSING,,,
CLM_LN_MSG_CD,B50,N/A,,,
CLM_LN_MSG_CD,DN1,Charges = or < Dental Fee,,,
CLM_LN_MSG_CD,B329,REJ-PLEASE SEND TRANSPORT NOTES OR AMBULANCE REPOR,,,
CLM_LN_MSG_CD,F48,PROV SEG ONLY (SIU),,,
CLM_LN_MSG_CD,D6R,Par Ip Late Not Deny Med,,,
CLM_LN_MSG_CD,Q83,Fully Insured PV Discount,,,
CLM_LN_MSG_CD,C560,APP-IF A PAR FACILITY WAS USED CONTACT THE PLAN;,,,
CLM_LN_MSG_CD,A971,REJ-HR-REJECTED HR,,,
CLM_LN_MSG_CD,E740,RECV: PRIMAX - EXAMINER ERROR,,,
CLM_LN_MSG_CD,T46,Cotiviti Recommendation,,,
CLM_LN_MSG_CD,E815,PROV:INTERIM BILL READJUDICATION,,,
CLM_LN_MSG_CD,N70,MED NEC DOSAGE/FREQ/NP INN,,,
CLM_LN_MSG_CD,U49,HSA REVERSAL,,,
CLM_LN_MSG_CD,LFF,C/BY $ MAMMOGRAPHY COINSURANCE,,,
CLM_LN_MSG_CD,B846,REJ-SUBMIT CLAIM TO CORRECT ADDRESS:PO BOX 7101LO,,,
CLM_LN_MSG_CD,D39,Benefit Limit Exceeded,,,
CLM_LN_MSG_CD,206,INT DENT MAX EXC NC,,,
CLM_LN_MSG_CD,J74,JCA - Add'l Info - Mbr,,,
CLM_LN_MSG_CD,57,MDCR APPROVED NC,,,
CLM_LN_MSG_CD,B908,DISCOUNT TAKEN THROUGH PPO NEXT 1-800-499-9708,,,
CLM_LN_MSG_CD,C118,REJ-DEBT RECONCILIATION PAYMENT,,,
CLM_LN_MSG_CD,C835,REJ-CODE NOT LISTED ON AMBULANCE FEE SCHEDULE,,,
CLM_LN_MSG_CD,PJB,Oon Paid At 105% Rbrvs,,,
CLM_LN_MSG_CD,PNA,ADJ W STATE CST SHAR PAY,,,
CLM_LN_MSG_CD,RT,Sloans Lake provider discount applied.  Member not,,,
CLM_LN_MSG_CD,DDV,Part D Vac Admin Fee N/C,,,
CLM_LN_MSG_CD,P6Q,Par Ip Late Not Penalty,,,
CLM_LN_MSG_CD,B793,REJ-SUBMIT CLAIMS TO YOUR ROUTINE VISION CARRIER,,,
CLM_LN_MSG_CD,C0,FREQ VIOLATED PROC N/C,,,
CLM_LN_MSG_CD,DIJ,Related Exp Inn,,,
CLM_LN_MSG_CD,A716,SVCS INCLUDED IN PAYMENT FOR PRIOR ADMISSION-BASED,,,
CLM_LN_MSG_CD,A874,PND-CLAIMS DATA MISMATCH AGAINST AUTH,,,
CLM_LN_MSG_CD,DKS,Reserved Dental Siu,,,
CLM_LN_MSG_CD,D804,PAID IN ACCORDANCE WITH UP&UP AGREEMENT (800-499-9,,,
CLM_LN_MSG_CD,A1D,Cust Incidental Cch Adj,,,
CLM_LN_MSG_CD,B841,RENTAL COSTS HAVE EXCEEDED PURCHASE PRICE ON THIS,,,
CLM_LN_MSG_CD,OR5,INFE New Surp Bill OR,,,
CLM_LN_MSG_CD,C063,PMT REPRESENTS 50% AS REQUIRED BY LA DOI. BALANCE,,,
CLM_LN_MSG_CD,B992,REJ-PLEASE SUBMIT CLAIM TO INTERPLAN HEALTH GROUP,,,
CLM_LN_MSG_CD,D+Y,Reserved,,,
CLM_LN_MSG_CD,D370,REJ-ROUTINE SERVICES FOR HMO MEMBERS ARE ONLY COVE,,,
CLM_LN_MSG_CD,IA9,Extraction Date,,,
CLM_LN_MSG_CD,Q77,Non-ER IP Phys Pd OON,,,
CLM_LN_MSG_CD,AYU,Reserved,,,
CLM_LN_MSG_CD,B755,APP-MR-ASSISTANT SURGEON MULTIPLE PROCEDURES,,,
CLM_LN_MSG_CD,B905,DISCOUNT TAKEN THROUGH-AMERICAN CARE SOURCE 1-800-,,,
CLM_LN_MSG_CD,05T9,MA-CXT Incidental Non Par Preferred,,,
CLM_LN_MSG_CD,DQD,Labpanrebun Hist Adj,,,
CLM_LN_MSG_CD,PRK,CORRECTN REPLACEMENT CLM,,,
CLM_LN_MSG_CD,DV$,Reserved,,,
CLM_LN_MSG_CD,057X,MA-CXT Global OB/Antepartum Care Par,,,
CLM_LN_MSG_CD,907,GENERIC RX-LESS EXP,,,
CLM_LN_MSG_CD,IMN,Pend for Unannotated  X-ray,,,
CLM_LN_MSG_CD,WWNU,This is your monthly orthodontia payment. In order,,,
CLM_LN_MSG_CD,1094,Priced by carve-out - out of network authorized,,,
CLM_LN_MSG_CD,D492,APP-CR-LAB PANEL CODE ADDED DURING QUALITY AUDIT,,,
CLM_LN_MSG_CD,PSX,Amt Pd Reflects Discount,,,
CLM_LN_MSG_CD,UU2,PER SVC COST SHARE,,,
CLM_LN_MSG_CD,D83,Denied Bill Montefiore,,,
CLM_LN_MSG_CD,DFX,Ma Medicaid Reclaim/Too Old,,,
CLM_LN_MSG_CD,047,PAY 60% NO DEDUCTIBLE,,,
CLM_LN_MSG_CD,C227,REJ-QUEBECOR MEMBER SUBMIT CLAIMS TO RUTH DUST QU,,,
CLM_LN_MSG_CD,D300,REJ-ADDITIONAL INFORMATION REQUESTED FROM THE MEMB,,,
CLM_LN_MSG_CD,E781,RECV: MEDCOST - TECHNICAL INTEGRATION,,,
CLM_LN_MSG_CD,M8I8,The Ineligible Amount reflects the PRECISION BENEF,,,
CLM_LN_MSG_CD,O29,REQ PRIOR HSP CONF BILL (Lockheed Martin),,,
CLM_LN_MSG_CD,X7WD,CTV PPM related svs not rec'd,,,
CLM_LN_MSG_CD,A374,REJ-NOT A MEDICAL EMERGENCY,,,
CLM_LN_MSG_CD,A886,PEND-BENEFITS PENDING RECEIPT OF INFORMATION,,,
CLM_LN_MSG_CD,D1O,Reserved,,,
CLM_LN_MSG_CD,G99,Rewk Explanation - Underpay,,,
CLM_LN_MSG_CD,7VF0,OPTUM FOCUS CLAIM REVIEW,,,
CLM_LN_MSG_CD,A443,REJ-TRANSPLANT SVCS NOT AUTHORIZED,,,
CLM_LN_MSG_CD,PL9,Sales Tax N/C Np,,,
CLM_LN_MSG_CD,RIMX,Please submit a letter of medical necessity and co,,,
CLM_LN_MSG_CD,E122,REJ-AETNA CHOICE POS II FIRST HEALTH MEMBER IS NO,,,
CLM_LN_MSG_CD,E420,CTMG:CLAIM CAPITATED IN ERROR,,,
CLM_LN_MSG_CD,PAG,Send to Global Excel Mgmt,,,
CLM_LN_MSG_CD,PHY,Facility Authin 400% Mcr,,,
CLM_LN_MSG_CD,6370,Claim denied due to contiguous county rule.,,,
CLM_LN_MSG_CD,D585,REJ-CR-PROCEDURE CODE DEFINED AS A UNILATERAL/BILA,,,
CLM_LN_MSG_CD,DKO,Reserved Dental Siu,,,
CLM_LN_MSG_CD,B069,REJ-HCR-PROVIDER INELIGIBLE FOR REIMBURSEMENT. MEM,,,
CLM_LN_MSG_CD,C39,N/A,,,
CLM_LN_MSG_CD,D355,PEND CMS RFI,,,
CLM_LN_MSG_CD,D9Z,Reserved,,,
CLM_LN_MSG_CD,E662,RECV: HDS - BENEFITS,,,
CLM_LN_MSG_CD,E741,RECV:PRIMAX - EXAMINER ERROR,,,
CLM_LN_MSG_CD,DQK,Ma-Apc Invalid Pos,,,
CLM_LN_MSG_CD,E203,DENIED-AFTER RECONSIDERATION,,,
CLM_LN_MSG_CD,V6,EXP EXC RECOG CHG,,,
CLM_LN_MSG_CD,L2,PER VISIT MAX EXCESS - USE L3,,,
CLM_LN_MSG_CD,0F43,CXT - DME Not Cov For Place of Service NonPar Pref,,,
CLM_LN_MSG_CD,HHR,Covid-19 NP Protect,,,
CLM_LN_MSG_CD,Y38,AUTH NP ANES KY EOB,,,
CLM_LN_MSG_CD,B017,REJ-PROCEDURE NOT SUPPORTED BY DOCUMENTATION SUBM,,,
CLM_LN_MSG_CD,C199,DED-CHIRO CASE RATE APPLIED TOWARDS MEMBER DEDUCTI,,,
CLM_LN_MSG_CD,C789,REJ-CHARGE EXCEEDS THE ALLOWED AMT,,,
CLM_LN_MSG_CD,FD9,NSA FXG WNG DENY W RVW,,,
CLM_LN_MSG_CD,1LGH,OON - PROVIDER OUT OF NETWORK Line Level,,,
CLM_LN_MSG_CD,517C,IVL Request Dental-Post Op X-Ray,,,
CLM_LN_MSG_CD,B464,REJ-HCR-PROVIDER'S LICENSE INCACTIVE FOR THIS DATE,,,
CLM_LN_MSG_CD,DXU,Resubm Dental Allwc Clm,,,
CLM_LN_MSG_CD,Y4RQ,MA-APC OBS Criteria Not Met,,,
CLM_LN_MSG_CD,E347,TEAM:MEDICARE INCORRECTLY APPLIED,,,
CLM_LN_MSG_CD,B075,REJ-SERVICES DO NOT MATCH MEMBER ON CLAIM,,,
CLM_LN_MSG_CD,E328,GENL:ALTERNATE PAYEE INCORRECT,,,
CLM_LN_MSG_CD,WA1,W&A Med Records Request,,,
CLM_LN_MSG_CD,B144,REJ-DOLLAR AMT ABOVE OUT-OF-NETWORK RATE - MEMBER,,,
CLM_LN_MSG_CD,D3G,Dme Lab 75%mcare Ga Info,,,
CLM_LN_MSG_CD,MI5T,Fluoride treatments are limited to once in a 6 mon,,,
CLM_LN_MSG_CD,B356,REJ-HCR-DOCUMENTATION DOES NOT SUPPORT SERVICES BI,,,
CLM_LN_MSG_CD,B640,PND-ACCUMULATOR BACKOUT DUE TO STATUS,,,
CLM_LN_MSG_CD,D76,Covered In Capitation To Chp,,,
CLM_LN_MSG_CD,FDD,FED36 IDR PAY,,,
CLM_LN_MSG_CD,M0UK,Charges are ineligible based on the medical necess,,,
CLM_LN_MSG_CD,59K9,Lab Svc - Billing Error,,,
CLM_LN_MSG_CD,293,PAR EXC RTL-NO EE OBL,,,
CLM_LN_MSG_CD,C782,REJ-DUPLICATE SUBMISSION; APPROVED AMOUNT PREVIOUS,,,
CLM_LN_MSG_CD,D457,REJ-PACKAGED SERVICES,,,
CLM_LN_MSG_CD,Z76,Source of Admission,,,
CLM_LN_MSG_CD,A79,VERBAL INFO SUBMIT,,,
CLM_LN_MSG_CD,C449,DR-PLEASE PROVIDE TOMOGRAPH & AN EXPLANATION OF TR,,,
CLM_LN_MSG_CD,M9KQ,These charges are pending completion of hospital a,,,
CLM_LN_MSG_CD,GDGN,CTV PPM Invalid NDC PAR,,,
CLM_LN_MSG_CD,V31,INCIDENTAL NP IN,,,
CLM_LN_MSG_CD,D285,REJ-LIFESOURCE DISCOUNT.  PATIENT NOT LIABLE FOR D,,,
CLM_LN_MSG_CD,H93,REQ MED REC POLICE REP ABORT,,,
CLM_LN_MSG_CD,HHQ,Addl Info Covid-19 OTC tests FSBP,,,
CLM_LN_MSG_CD,NAB,CMED Facility NSA -PAB,,,
CLM_LN_MSG_CD,A351,REJ-CHARGES ELIGIBLE FOR REIMBURSEMENT UNDER WORKE,,,
CLM_LN_MSG_CD,JSK9,MA-Inpatient Not Covered Non-Par,,,
CLM_LN_MSG_CD,E012,REJ-COMPONENT OF COMPREHENSIVE PROCEDURE NOT ALLOW,,,
CLM_LN_MSG_CD,9381,Medically Nec Non Par OON & Par Lab Not Cov,,,
CLM_LN_MSG_CD,B484,REJ-SI-DENIED DUPLICATE CLAIM PRIOR SUBMISSION PE,,,
CLM_LN_MSG_CD,L0,LIFETIME MAX MET,,,
CLM_LN_MSG_CD,D413,REJ-IMPROPER BILLING OF ESRD DRUGS,,,
CLM_LN_MSG_CD,94,ALLOW 100% OF BILLED CHARGES,,,
CLM_LN_MSG_CD,7063,We have paid the maximum allowed for this service.,,,
CLM_LN_MSG_CD,Q7,VOLUNTARY STERILIZATION NC,,,
CLM_LN_MSG_CD,PTR,Txp-Paid Txp Phase,,,
CLM_LN_MSG_CD,086,PAY 100% NO DEDUCTIBLE,,,
CLM_LN_MSG_CD,Z14,GLOBAL OB DX NP IN,,,
CLM_LN_MSG_CD,DIC,Nicu Denial,,,
CLM_LN_MSG_CD,B05,Dental ABP Covered,,,
CLM_LN_MSG_CD,N5HY,Claim is ineligible due to separate agreement with,,,
CLM_LN_MSG_CD,P#5,Reserved,,,
CLM_LN_MSG_CD,TXP,TXSB AMB PROV RATE,,,
CLM_LN_MSG_CD,784,Medical Nec NPNP NC,,,
CLM_LN_MSG_CD,940,NO OBLIGTN UNLS AGREED,,,
CLM_LN_MSG_CD,PRA,Cms Accred Prog Code Inelig Gl,,,
CLM_LN_MSG_CD,DK-,Submit To Nationshearing,,,
CLM_LN_MSG_CD,J0,HEALTHY BEGINNINGS,,,
CLM_LN_MSG_CD,970,DESCRIP OF PROCEDURE OR CODES,,,
CLM_LN_MSG_CD,B267,REJ-MR-AGE INVALID FOR PROCEDURE/DIAGNOSIS,,,
CLM_LN_MSG_CD,DTL,T&l-Deny,,,
CLM_LN_MSG_CD,W08,THERAPY DEVIATION RFI,,,
CLM_LN_MSG_CD,E889,PROV: REFERRING PHYSICIAN SUBMITTED OR CORRECTED,,,
CLM_LN_MSG_CD,PKH,Incentive Pymt Breast Pump,,,
CLM_LN_MSG_CD,A262,REJ-HMMC RESPONSIBILITY-UNTIMELY FILING,,,
CLM_LN_MSG_CD,2JUN,ER Deny No Medical Records Received,,,
CLM_LN_MSG_CD,E651,RECV:ORS - EXAMINER ERROR,,,
CLM_LN_MSG_CD,Q9Y7,IVL - GA NSA FAC,,,
CLM_LN_MSG_CD,C243,REJ-MARYLAND PROMPT PAY DISCOUNT APPLIED. SEE COMA,,,
CLM_LN_MSG_CD,07N7,MA-Not Covered Prov Not MDCR-Certified,,,
CLM_LN_MSG_CD,227,PDN 120 VISIT LIMIT MET(FEHBA/RETFE NLY),,,
CLM_LN_MSG_CD,E197,DENIED-POST PEER REVIEW,,,
CLM_LN_MSG_CD,B996,REJ-PLEASE RESUBMIT WITH EOB DATE FROM THE PRIMARY,,,
CLM_LN_MSG_CD,C719,REJ-PER REVIEW OF RECORDS INCORRECT PROCEDURE/REV,,,
CLM_LN_MSG_CD,0J6J,CXT - Max Services Allowed NonPar Pref,,,
CLM_LN_MSG_CD,B769,REJ-AWAITING COB INFORMATION,,,
CLM_LN_MSG_CD,B994,AS A RESULT OF A ROUTINE MARKET CONDUCT EXAMINATIO,,,
CLM_LN_MSG_CD,C432,DR-PLEASE PROVIDE PA X-RAYS & CURRENT PERIO CHARTI,,,
CLM_LN_MSG_CD,M39,NDC INFO AWP CONTRACT,,,
CLM_LN_MSG_CD,P7P,Oon Pd At 375% Mcr Allowed,,,
CLM_LN_MSG_CD,C288,REJ-ACCUMULATOR ADJUSTMENT,,,
CLM_LN_MSG_CD,D676,TRNS-TRANSPLANT INPATIENT PAYMENT,,,
CLM_LN_MSG_CD,DMK,Rug Code Missing,,,
CLM_LN_MSG_CD,X45,Member Precert Penalty,,,
CLM_LN_MSG_CD,C166,REJ-THIS SERVICE FORWARDED TO MHNET FOR PROCESSING,,,
CLM_LN_MSG_CD,E17,INTERGROUP NAP PHYSICIANS,,,
CLM_LN_MSG_CD,P2G,Auth Np Hiaa80 De Eob,,,
CLM_LN_MSG_CD,DS8,Abn Signed-Member Respon,,,
CLM_LN_MSG_CD,PCY,Cap Initial,,,
CLM_LN_MSG_CD,0HZ0,CXT - Home Improvements Not Covered,,,
CLM_LN_MSG_CD,D434,REJ-PLEASE SUBMIT COMPLETE COPY OF DISCHARGE SUMMA,,,
CLM_LN_MSG_CD,LWHL,SIU Request History Records Par,,,
CLM_LN_MSG_CD,UZIE,Clinical Trial IP CC and DX,,,
CLM_LN_MSG_CD,MDVQ,Expenses adjusted due to discount arrangements wit,,,
CLM_LN_MSG_CD,B726,APP-MEAL REPLACEMENT EXPENSE APPROVED UNDER WEIGHT,,,
CLM_LN_MSG_CD,MU9,DNL Subro Info Not Rec'd,,,
CLM_LN_MSG_CD,,Not Available/Applicable,,,
CLM_LN_MSG_CD,C598,REJ-YOU SIGNED A CONTRACT WITH YOUR PROVIDER TO BE,,,
CLM_LN_MSG_CD,E725,RECV: PRIMAX COB,,,
